Designator,Mid X,Mid Y,Rotation,Layer
C1,79.794677,-90.215,0.0,top
C10,103.164677,-106.807,270.0,top
C11,107.101677,-84.709,270.0,top
C12,106.974677,-106.807,270.0,top
C13,103.09,-75.057,0.0,top
C14,103.505677,-116.205,180.0,top
C15,139.258,-74.168,0.0,top
C16,155.437246,-116.078,0.0,top
C17,156.613755,-74.168,180.0,top
C18,137.988,-116.078,180.0,top
C19,155.835,-86.233,0.0,top
C2,82.334677,-96.025,180.0,top
C20,153.676,-104.394,180.0,top
C21,188.341,-64.262,180.0,top
C22,197.739,-69.723,90.0,top
C23,197.231,-74.93,0.0,top
C24,188.849,-69.723,270.0,top
C3,82.969677,-98.946,270.0,top
C4,89.446677,-98.946,0.0,top
C5,88.559677,-91.186,90.0,top
C6,96.941677,-90.551,90.0,top
C7,99.735677,-84.709,270.0,top
C8,99.481677,-106.807,270.0,top
C9,103.418677,-84.709,270.0,top
D1,93.639677,-86.614,270.0,top
D2,95.290677,-105.029,270.0,top
J1,89.4735,-56.8635,0.0,top
J2,148.2745,-56.4825,0.0,top
J3,103.0625,-56.8635,0.0,top
J4,216.3505,-65.445,90.0,top
L1,116.626677,-101.219,0.0,top
L2,116.626677,-89.662,180.0,top
L3,136.02,-89.662,0.0,top
L4,136.023,-101.219,0.0,top
Q1,185.166,-84.334,180.0,top
Q2,207.1942,-84.455,0.0,top
Q3,207.1882,-90.424,180.0,top
Q4,185.172,-91.44,0.0,top
Q5,194.9704,-90.418,0.0,top
Q6,201.814,-115.316,0.0,top
Q7,178.446,-115.316,0.0,top
R1,86.906677,-79.642,180.0,top
R10,100.116677,-94.869,0.0,top
R11,100.116677,-96.647,0.0,top
R12,96.653,-79.629,180.0,top
R13,96.179677,-112.522,0.0,top
R14,96.653,-77.978,180.0,top
R15,96.179677,-114.3,0.0,top
R16,194.437,-63.262,270.0,top
R17,192.151,-63.246,90.0,top
R18,198.247,-64.262,0.0,top
R19,192.659,-75.819,270.0,top
R2,85.001677,-81.42,0.0,top
R20,185.166,-80.01,270.0,top
R21,207.1942,-80.01,90.0,top
R22,198.12,-93.599,0.0,top
R23,197.191,-81.3308,180.0,top
R24,193.675,-86.106,180.0,top
R25,182.88,-80.01,90.0,top
R26,209.4802,-80.01,270.0,top
R27,187.833,-101.854,180.0,top
R28,191.135,-107.696,180.0,top
R29,185.166,-107.696,180.0,top
R3,83.096677,-79.642,0.0,top
R4,79.794677,-88.215,180.0,top
R5,79.794677,-92.215,0.0,top
R6,79.794677,-94.12,180.0,top
R7,85.001677,-96.914,270.0,top
R8,86.779677,-96.914,90.0,top
R9,88.559677,-95.123,90.0,top
RV1,85.001677,-84.976,270.0,top
TP1,79.921677,-74.054,180.0,top
TP10,90.591677,-107.696,180.0,top
TP11,89.192677,-83.947,0.0,top
TP12,163.3915,-86.233,0.0,top
TP13,148.448379,-86.233,270.0,top
TP14,124.5295,-119.634,180.0,top
TP15,183.642,-71.247,90.0,top
TP16,214.249,-96.774,180.0,top
TP17,171.323,-91.44,0.0,top
TP18,214.1792,-90.424,180.0,top
TP19,178.435,-91.44,0.0,top
TP2,85.001677,-74.054,180.0,top
TP20,173.0435,-120.523,180.0,top
TP21,210.5085,-104.902,90.0,top
TP22,183.9655,-120.523,180.0,top
TP23,207.3335,-120.396,180.0,top
TP24,204.5395,-62.992,0.0,top
TP25,216.3505,-74.041,180.0,top
TP3,80.7145,-64.135,0.0,top
TP4,112.5915,-119.634,180.0,top
TP5,78.492,-98.171,0.0,top
TP6,78.5555,-105.537,0.0,top
TP7,100.243677,-90.551,0.0,top
TP8,100.243677,-100.838,90.0,top
TP9,90.591677,-102.362,180.0,top
U1,84.366677,-91.326,270.0,top
U2,93.639677,-95.123,0.0,top
U3,105.704677,-91.0527,90.0,top
U4,105.704677,-100.475999,90.0,top
U5,193.294,-69.723,270.0,top
U6,172.974,-99.822,180.0,top
U7,201.81695,-100.586,0.0,top
U8,201.81695,-107.571,180.0,top
U9,172.974,-106.934,180.0,top
