Designator,Mid X,Mid Y,Rotation,Layer
C1,181.261677,-137.332,0.0,top
C10,204.631677,-153.924,270.0,top
C11,208.568677,-131.826,270.0,top
C12,208.441677,-153.924,270.0,top
C13,204.557,-122.174,0.0,top
C14,204.972677,-163.322,180.0,top
C15,240.725,-121.285,0.0,top
C16,256.904246,-163.195,0.0,top
C17,258.080755,-121.285,180.0,top
C18,239.455,-163.195,180.0,top
C19,262.382,-136.271,90.0,top
C2,183.801677,-143.142,180.0,top
C20,262.382,-149.352,90.0,top
C3,184.436677,-146.063,270.0,top
C4,190.913677,-146.063,0.0,top
C5,190.026677,-138.303,90.0,top
C6,198.408677,-137.668,90.0,top
C7,201.202677,-131.826,270.0,top
C8,200.948677,-153.924,270.0,top
C9,204.885677,-131.826,270.0,top
D1,195.106677,-133.731,270.0,top
D2,196.757677,-152.146,270.0,top
J1,180.213,-155.9774,270.0,top
L1,218.093677,-148.336,0.0,top
L2,218.093677,-136.779,180.0,top
L3,237.487,-136.779,0.0,top
L4,237.49,-148.336,0.0,top
R1,188.373677,-126.759,180.0,top
R10,201.583677,-141.986,0.0,top
R11,201.583677,-143.764,0.0,top
R12,198.12,-126.746,180.0,top
R13,197.646677,-159.639,0.0,top
R14,198.12,-125.095,180.0,top
R15,197.646677,-161.417,0.0,top
R2,186.468677,-128.537,0.0,top
R3,184.563677,-126.759,0.0,top
R4,181.261677,-135.332,180.0,top
R5,181.261677,-139.332,0.0,top
R6,181.261677,-141.237,180.0,top
R7,186.468677,-144.031,270.0,top
R8,188.246677,-144.031,90.0,top
R9,190.026677,-142.24,90.0,top
RV1,186.468677,-132.093,270.0,top
TP1,181.388677,-121.171,180.0,top
TP10,190.659677,-131.064,0.0,top
TP11,269.367,-120.142,0.0,top
TP12,261.874,-142.875,0.0,top
TP13,268.859,-164.846,0.0,top
TP2,186.8241,-153.4774,0.0,top
TP3,186.468677,-121.171,180.0,top
TP4,186.944,-158.496,180.0,top
TP5,179.959,-145.288,0.0,top
TP6,201.710677,-137.668,0.0,top
TP7,201.710677,-147.955,90.0,top
TP8,192.058677,-149.479,180.0,top
TP9,192.058677,-154.813,180.0,top
U1,185.833677,-138.443,270.0,top
U2,195.106677,-142.24,0.0,top
U3,207.171677,-138.1697,90.0,top
U4,207.171677,-147.592999,90.0,top
